Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777912435,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777912436,50,,Aggregated,0.000000,0.000000,400,540,590,620,730,820,830,890,890,890,890,53,3,400,423.2967918867459,43.70465699958004,890.4496270006348,1995.301886792453
1777912437,50,,Aggregated,0.000000,0.000000,440,580,660,700,740,800,920,1200,1900,1900,1900,129,3,440,494.1513024806445,43.70465699958004,1869.5964850003293,2065.31007751938
1777912438,50,,Aggregated,19.000000,3.000000,400,450,640,690,750,890,1400,1500,1900,1900,1900,227,3,400,490.49318885464953,43.70465699958004,1869.5964850003293,2086.7665198237887
1777912439,50,,Aggregated,40.500000,1.500000,380,440,550,620,720,780,1300,1400,1900,1900,1900,339,3,380,453.53873884663994,43.70465699958004,1869.5964850003293,2095.8790560471975
1777912440,50,,Aggregated,56.333333,1.000000,360,430,500,530,690,750,1200,1400,1900,1900,1900,452,3,360,430.5185353827761,33.31743199942139,1869.5964850003293,2100.433628318584
1777912441,50,,Aggregated,67.750000,0.750000,370,420,490,520,670,740,1300,1500,5500,5500,5500,563,3,370,459.02205257551987,33.31743199942139,5499.5141680001325,2103.3108348134992
1777912442,50,,Aggregated,76.800000,0.600000,370,420,460,490,640,730,1200,1500,5500,5500,5500,677,3,370,447.50395260564045,33.31743199942139,5499.5141680001325,2105.240768094535
1777912443,50,,Aggregated,82.833333,0.500000,380,410,440,480,590,710,890,1400,5500,5500,5500,788,3,380,441.07776247210705,33.31743199942139,5499.5141680001325,2106.501269035533
1777912444,50,,Aggregated,87.142857,0.428571,390,410,430,450,550,700,800,1400,5500,5500,5500,901,3,390,436.511343580489,32.68577000017103,5499.5141680001325,2107.480577136515
1777912445,50,,Aggregated,90.625000,0.375000,400,410,430,440,530,690,780,1300,5400,5500,5500,1013,3,400,433.0255458243023,32.68577000017103,5499.5141680001325,2108.3237907206317
1777912446,50,,Aggregated,92.666667,0.333333,400,420,430,450,520,670,760,1300,5500,10000,10000,1115,4,400,441.75014895157835,32.68577000017103,10023.90206400014,2107.0385650224216
1777912447,50,,Aggregated,94.500000,0.300000,400,420,440,450,510,660,760,1300,5500,10000,10000,1224,4,400,441.0464351854628,32.68577000017103,10023.90206400014,2107.6960784313724
1777912448,50,,Aggregated,103.700000,0.100000,400,420,440,450,500,650,750,1300,5500,10000,10000,1338,4,400,437.79144942003387,32.68577000017103,10023.90206400014,2108.3437967115096
1777912449,50,,Aggregated,107.600000,0.100000,410,430,440,450,490,620,740,1200,5500,10000,10000,1446,4,410,436.5875491888016,32.68577000017103,10023.90206400014,2108.7849239280777
1777912450,50,,Aggregated,109.700000,0.100000,410,420,440,440,490,590,730,920,5500,10000,10000,1563,4,410,434.4834682239333,30.443759000263526,10023.90206400014,2109.225207933461
1777912451,50,,Aggregated,111.200000,0.100000,410,420,430,440,480,590,740,1300,15000,15000,15000,1688,8,410,466.70940524171385,30.443759000263526,15033.583864999855,2104.55509478673
1777912452,50,,Aggregated,110.600000,0.100000,410,430,440,450,500,600,730,1300,15000,15000,15000,1778,8,410,468.7495874960678,30.443759000263526,15033.583864999855,2105.058492688414
1777912453,50,,Aggregated,111.700000,0.500000,410,430,450,460,520,600,730,1200,15000,15000,15000,1886,8,410,470.38100792789663,30.443759000263526,15033.583864999855,2105.627783669141
1777912454,50,,Aggregated,111.700000,0.500000,420,430,450,460,520,590,730,920,15000,15000,15000,1998,8,420,468.88241851251996,30.443759000263526,15033.583864999855,2106.1396396396394
