Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777962506,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777962507,50,,Aggregated,0.000000,0.000000,92,100,120,130,170,220,260,260,260,260,260,81,1,92,100.35395581494582,32.68895699875429,257.7639779992751,2088.382716049383
1777962508,50,,Aggregated,0.000000,0.000000,89,100,120,130,190,260,1300,1800,1800,1800,1800,90,1,88,142.27660438890678,29.121804000169504,1823.8513819997024,2090.822222222222
1777962509,50,,Aggregated,0.000000,0.000000,130,170,200,250,2300,2500,2600,2700,2800,2800,2800,240,1,130,451.4527860375438,29.121804000169504,2790.7067660016764,2105.429166666667
1777962510,50,,Aggregated,40.500000,0.500000,160,200,240,250,990,2400,2600,2700,3600,3600,3600,424,1,160,367.75358290329024,29.121804000169504,3588.4238770013326,2109.0117924528304
1777962511,50,,Aggregated,32.666667,0.333333,160,200,230,250,420,1400,2500,2600,3600,3600,3600,646,1,160,301.38484833124966,29.121804000169504,3588.4238770013326,2110.7693498452013
1777962512,50,,Aggregated,63.000000,0.250000,140,180,220,240,410,1400,2500,2700,5200,5200,5200,834,1,130,290.83760213548925,29.121804000169504,5189.65908500104,2111.685851318945
1777962513,50,,Aggregated,88.400000,0.200000,110,160,200,220,370,1300,2400,2600,5200,5200,5200,1016,1,110,253.03392316047436,29.121804000169504,5189.65908500104,2112.248031496063
1777962514,50,,Aggregated,110.166667,0.166667,85,140,180,210,370,1500,2600,2700,5200,7700,7700,1232,1,85,262.55741775976963,29.121804000169504,7729.185745996801,2112.5527597402597
1777962515,50,,Aggregated,121.000000,0.142857,73,130,180,210,410,1600,2700,2900,5200,7700,7700,1480,1,73,269.7673713513773,29.121804000169504,7729.185745996801,2112.904054054054
1777962516,50,,Aggregated,128.875000,0.125000,73,130,180,200,390,1400,2600,2900,5200,7700,7700,1812,1,73,254.9372237312727,29.121804000169504,7729.185745996801,2113.1065121412803
1777962517,50,,Aggregated,138.333333,0.111111,78,140,170,200,330,1300,2500,2800,10000,10000,10000,2207,4,78,245.12797261579314,29.121804000169504,10028.47784199912,2110.4032623470775
1777962518,50,,Aggregated,150.000000,0.100000,84,130,170,190,290,800,2400,2700,10000,10000,10000,2641,4,84,223.95540310000845,29.121804000169504,10028.47784199912,2111.0022718667174
1777962519,50,,Aggregated,183.700000,0.100000,87,130,170,190,270,500,2200,2700,7700,10000,10000,3079,4,87,208.4169292082237,29.121804000169504,10028.47784199912,2111.4420266320235
1777962520,50,,Aggregated,215.400000,0.300000,90,130,170,190,250,430,1700,2700,7700,10000,10000,3514,4,90,196.70722924107514,29.121804000169504,10028.47784199912,2111.7256687535573
1777962521,50,,Aggregated,257.100000,0.300000,91,130,160,190,250,370,1600,2600,7700,10000,10000,3948,4,91,187.81107111197645,29.121804000169504,10028.47784199912,2111.977963525836
1777962522,50,,Aggregated,285.500000,0.300000,92,130,170,190,250,330,1400,2500,5200,10000,10000,4351,4,92,181.75509729926378,29.121804000169504,10028.47784199912,2112.1981153757756
1777962523,50,,Aggregated,309.600000,0.300000,91,130,170,190,250,310,1400,2500,5200,10000,10000,4787,4,91,175.65814290873158,29.121804000169504,10028.47784199912,2112.3471903070817
1777962524,50,,Aggregated,330.900000,0.300000,91,130,160,190,240,300,1300,2400,5200,10000,10000,5245,4,91,169.76917810259832,29.121804000169504,10028.47784199912,2112.4722592945664
1777962525,50,,Aggregated,352.600000,0.300000,91,130,170,190,240,290,1200,2300,5200,10000,10000,5679,4,91,165.38555919476605,29.121804000169504,10028.47784199912,2112.592709984152
